Country,Sex,Age_Group,Year,Ethnic_Group,Value
Malaysia,Total Sex,Total Age Group,1989,Chinese,4948
Malaysia,Total Sex,Total Age Group,1989,Indians,1388
Malaysia,Total Sex,Total Age Group,1989,Others,501
Malaysia,Total Sex,Total Age Group,1990,Total Ethnic Group,18102
Malaysia,Total Sex,Total Age Group,1990,Bumiputera,11179
Malaysia,Total Sex,Total Age Group,1990,Chinese,4990
Malaysia,Total Sex,Total Age Group,1990,Indians,1409
Malaysia,Total Sex,Total Age Group,1990,Others,525
Malaysia,Total Sex, 0 - 4,1980,Total Ethnic Group,1979
Malaysia,Total Sex, 0 - 4,1980,Bumiputera,1210
Malaysia,Total Sex, 0 - 4,1980,Chinese,567
Malaysia,Total Sex, 0 - 4,1980,Indians,161
Malaysia,Total Sex, 0 - 4,1980,Others,41
Malaysia,Total Sex, 0 - 4,1981,Total Ethnic Group,2032
Malaysia,Total Sex, 0 - 4,1981,Bumiputera,1260
Malaysia,Total Sex, 0 - 4,1981,Chinese,565
Malaysia,Total Sex, 0 - 4,1981,Indians,164
Malaysia,Total Sex, 0 - 4,1981,Others,44
Malaysia,Total Sex, 0 - 4,1982,Total Ethnic Group,2079
Malaysia,Total Sex, 0 - 4,1982,Bumiputera,1306
Malaysia,Total Sex, 0 - 4,1982,Chinese,558
Malaysia,Total Sex, 0 - 4,1982,Indians,167
Malaysia,Total Sex, 0 - 4,1982,Others,49
Malaysia,Total Sex, 0 - 4,1983,Total Ethnic Group,2148
Malaysia,Total Sex, 0 - 4,1983,Bumiputera,1369
Malaysia,Total Sex, 0 - 4,1983,Chinese,556
Malaysia,Total Sex, 0 - 4,1983,Indians,170
Malaysia,Total Sex, 0 - 4,1983,Others,53
Malaysia,Total Sex, 0 - 4,1984,Total Ethnic Group,2203
Malaysia,Total Sex, 0 - 4,1984,Bumiputera,1426
Malaysia,Total Sex, 0 - 4,1984,Chinese,550
Malaysia,Total Sex, 0 - 4,1984,Indians,170
Malaysia,Total Sex, 0 - 4,1984,Others,57
Malaysia,Total Sex, 0 - 4,1985,Total Ethnic Group,2279
Malaysia,Total Sex, 0 - 4,1985,Bumiputera,1498
Malaysia,Total Sex, 0 - 4,1985,Chinese,550
Malaysia,Total Sex, 0 - 4,1985,Indians,170
Malaysia,Total Sex, 0 - 4,1985,Others,62
Malaysia,Total Sex, 0 - 4,1986,Total Ethnic Group,2352
Malaysia,Total Sex, 0 - 4,1986,Bumiputera,1571
Malaysia,Total Sex, 0 - 4,1986,Chinese,546
Malaysia,Total Sex, 0 - 4,1986,Indians,170
Malaysia,Total Sex, 0 - 4,1986,Others,65
Malaysia,Total Sex, 0 - 4,1987,Total Ethnic Group,2403
Malaysia,Total Sex, 0 - 4,1987,Bumiputera,1634
Malaysia,Total Sex, 0 - 4,1987,Chinese,532
Malaysia,Total Sex, 0 - 4,1987,Indians,171
Malaysia,Total Sex, 0 - 4,1987,Others,67
Malaysia,Total Sex, 0 - 4,1988,Total Ethnic Group,2452
Malaysia,Total Sex, 0 - 4,1988,Bumiputera,1686
Malaysia,Total Sex, 0 - 4,1988,Chinese,525
Malaysia,Total Sex, 0 - 4,1988,Indians,171
Malaysia,Total Sex, 0 - 4,1988,Others,69
Malaysia,Total Sex, 0 - 4,1989,Total Ethnic Group,2493
Malaysia,Total Sex, 0 - 4,1989,Bumiputera,1722
Malaysia,Total Sex, 0 - 4,1989,Chinese,529
Malaysia,Total Sex, 0 - 4,1989,Indians,171
Malaysia,Total Sex, 0 - 4,1989,Others,72
Malaysia,Total Sex, 0 - 4,1990,Total Ethnic Group,2500
Malaysia,Total Sex, 0 - 4,1990,Bumiputera,1740
Malaysia,Total Sex, 0 - 4,1990,Chinese,515
Malaysia,Total Sex, 0 - 4,1990,Indians,171
Malaysia,Total Sex, 0 - 4,1990,Others,74
Malaysia,Total Sex, 5 - 9,1980,Total Ethnic Group,1844
Malaysia,Total Sex, 5 - 9,1980,Bumiputera,1101
Malaysia,Total Sex, 5 - 9,1980,Chinese,561
Malaysia,Total Sex, 5 - 9,1980,Indians,143
Malaysia,Total Sex, 5 - 9,1980,Others,40
Malaysia,Total Sex, 5 - 9,1981,Total Ethnic Group,1854
Malaysia,Total Sex, 5 - 9,1981,Bumiputera,1116
Malaysia,Total Sex, 5 - 9,1981,Chinese,554
Malaysia,Total Sex, 5 - 9,1981,Indians,144
Malaysia,Total Sex, 5 - 9,1981,Others,40
Malaysia,Total Sex, 5 - 9,1982,Total Ethnic Group,1888
Malaysia,Total Sex, 5 - 9,1982,Bumiputera,1145
Malaysia,Total Sex, 5 - 9,1982,Chinese,555
Malaysia,Total Sex, 5 - 9,1982,Indians,148
Malaysia,Total Sex, 5 - 9,1982,Others,40
Malaysia,Total Sex, 5 - 9,1983,Total Ethnic Group,1908
Malaysia,Total Sex, 5 - 9,1983,Bumiputera,1166
Malaysia,Total Sex, 5 - 9,1983,Chinese,552
Malaysia,Total Sex, 5 - 9,1983,Indians,151
Malaysia,Total Sex, 5 - 9,1983,Others,39
Malaysia,Total Sex, 5 - 9,1984,Total Ethnic Group,1942
Malaysia,Total Sex, 5 - 9,1984,Bumiputera,1195
Malaysia,Total Sex, 5 - 9,1984,Chinese,554
Malaysia,Total Sex, 5 - 9,1984,Indians,154
Malaysia,Total Sex, 5 - 9,1984,Others,40
Malaysia,Total Sex, 5 - 9,1985,Total Ethnic Group,1976
Malaysia,Total Sex, 5 - 9,1985,Bumiputera,1224
Malaysia,Total Sex, 5 - 9,1985,Chinese,554
Malaysia,Total Sex, 5 - 9,1985,Indians,157
Malaysia,Total Sex, 5 - 9,1985,Others,41
Malaysia,Total Sex, 5 - 9,1986,Total Ethnic Group,2028
Malaysia,Total Sex, 5 - 9,1986,Bumiputera,1273
Malaysia,Total Sex, 5 - 9,1986,Chinese,550
Malaysia,Total Sex, 5 - 9,1986,Indians,160
Malaysia,Total Sex, 5 - 9,1986,Others,44
Malaysia,Total Sex, 5 - 9,1987,Total Ethnic Group,2084
Malaysia,Total Sex, 5 - 9,1987,Bumiputera,1325
Malaysia,Total Sex, 5 - 9,1987,Chinese,548
Malaysia,Total Sex, 5 - 9,1987,Indians,163
Malaysia,Total Sex, 5 - 9,1987,Others,48
Malaysia,Total Sex, 5 - 9,1988,Total Ethnic Group,2154
Malaysia,Total Sex, 5 - 9,1988,Bumiputera,1388
Malaysia,Total Sex, 5 - 9,1988,Chinese,549
Malaysia,Total Sex, 5 - 9,1988,Indians,166
Malaysia,Total Sex, 5 - 9,1988,Others,51
Malaysia,Total Sex, 5 - 9,1989,Total Ethnic Group,2212
Malaysia,Total Sex, 5 - 9,1989,Bumiputera,1447
Malaysia,Total Sex, 5 - 9,1989,Chinese,544
Malaysia,Total Sex, 5 - 9,1989,Indians,166
Malaysia,Total Sex, 5 - 9,1989,Others,55
Malaysia,Total Sex, 5 - 9,1990,Total Ethnic Group,2293
Malaysia,Total Sex, 5 - 9,1990,Bumiputera,1523
Malaysia,Total Sex, 5 - 9,1990,Chinese,545
Malaysia,Total Sex, 5 - 9,1990,Indians,166
Malaysia,Total Sex, 5 - 9,1990,Others,59
Malaysia,Total Sex, 10 - 14,1980,Total Ethnic Group,1719
Malaysia,Total Sex, 10 - 14,1980,Bumiputera,983
Malaysia,Total Sex, 10 - 14,1980,Chinese,545
Malaysia,Total Sex, 10 - 14,1980,Indians,146
Malaysia,Total Sex, 10 - 14,1980,Others,45
Malaysia,Total Sex, 10 - 14,1981,Total Ethnic Group,1735
Malaysia,Total Sex, 10 - 14,1981,Bumiputera,1007
Malaysia,Total Sex, 10 - 14,1981,Chinese,537
Malaysia,Total Sex, 10 - 14,1981,Indians,143
Malaysia,Total Sex, 10 - 14,1981,Others,49
Malaysia,Total Sex, 10 - 14,1982,Total Ethnic Group,1757
Malaysia,Total Sex, 10 - 14,1982,Bumiputera,1037
Malaysia,Total Sex, 10 - 14,1982,Chinese,530
Malaysia,Total Sex, 10 - 14,1982,Indians,140
Malaysia,Total Sex, 10 - 14,1982,Others,50
Malaysia,Total Sex, 10 - 14,1983,Total Ethnic Group,1763
Malaysia,Total Sex, 10 - 14,1983,Bumiputera,1054
Malaysia,Total Sex, 10 - 14,1983,Chinese,522
Malaysia,Total Sex, 10 - 14,1983,Indians,138
Malaysia,Total Sex, 10 - 14,1983,Others,50
Malaysia,Total Sex, 10 - 14,1984,Total Ethnic Group,1789
Malaysia,Total Sex, 10 - 14,1984,Bumiputera,1080
Malaysia,Total Sex, 10 - 14,1984,Chinese,521
Malaysia,Total Sex, 10 - 14,1984,Indians,138
Malaysia,Total Sex, 10 - 14,1984,Others,50
Malaysia,Total Sex, 10 - 14,1985,Total Ethnic Group,1827
Malaysia,Total Sex, 10 - 14,1985,Bumiputera,1118
Malaysia,Total Sex, 10 - 14,1985,Chinese,521
Malaysia,Total Sex, 10 - 14,1985,Indians,141
Malaysia,Total Sex, 10 - 14,1985,Others,47
Malaysia,Total Sex, 10 - 14,1986,Total Ethnic Group,1844
Malaysia,Total Sex, 10 - 14,1986,Bumiputera,1132
Malaysia,Total Sex, 10 - 14,1986,Chinese,523
Malaysia,Total Sex, 10 - 14,1986,Indians,143
Malaysia,Total Sex, 10 - 14,1986,Others,46
Malaysia,Total Sex, 10 - 14,1987,Total Ethnic Group,1883
Malaysia,Total Sex, 10 - 14,1987,Bumiputera,1162
Malaysia,Total Sex, 10 - 14,1987,Chinese,532
Malaysia,Total Sex, 10 - 14,1987,Indians,146
Malaysia,Total Sex, 10 - 14,1987,Others,43
Malaysia,Total Sex, 10 - 14,1988,Total Ethnic Group,1906
Malaysia,Total Sex, 10 - 14,1988,Bumiputera,1183
Malaysia,Total Sex, 10 - 14,1988,Chinese,534
Malaysia,Total Sex, 10 - 14,1988,Indians,149
Malaysia,Total Sex, 10 - 14,1988,Others,41
Malaysia,Total Sex, 10 - 14,1989,Total Ethnic Group,1945
Malaysia,Total Sex, 10 - 14,1989,Bumiputera,1213
Malaysia,Total Sex, 10 - 14,1989,Chinese,540
Malaysia,Total Sex, 10 - 14,1989,Indians,152
Malaysia,Total Sex, 10 - 14,1989,Others,40
Malaysia,Total Sex, 10 - 14,1990,Total Ethnic Group,1982
Malaysia,Total Sex, 10 - 14,1990,Bumiputera,1244
Malaysia,Total Sex, 10 - 14,1990,Chinese,542
Malaysia,Total Sex, 10 - 14,1990,Indians,155
Malaysia,Total Sex, 10 - 14,1990,Others,41
Malaysia,Total Sex, 15 - 19,1980,Total Ethnic Group,1577
Malaysia,Total Sex, 15 - 19,1980,Bumiputera,904
Malaysia,Total Sex, 15 - 19,1980,Chinese,491
Malaysia,Total Sex, 15 - 19,1980,Indians,144
Malaysia,Total Sex, 15 - 19,1980,Others,37
Malaysia,Total Sex, 15 - 19,1981,Total Ethnic Group,1620
Malaysia,Total Sex, 15 - 19,1981,Bumiputera,931
Malaysia,Total Sex, 15 - 19,1981,Chinese,503
Malaysia,Total Sex, 15 - 19,1981,Indians,145
Malaysia,Total Sex, 15 - 19,1981,Others,41
Malaysia,Total Sex, 15 - 19,1982,Total Ethnic Group,1648
Malaysia,Total Sex, 15 - 19,1982,Bumiputera,951
Malaysia,Total Sex, 15 - 19,1982,Chinese,506
Malaysia,Total Sex, 15 - 19,1982,Indians,145
Malaysia,Total Sex, 15 - 19,1982,Others,46
Malaysia,Total Sex, 15 - 19,1983,Total Ethnic Group,1678
Malaysia,Total Sex, 15 - 19,1983,Bumiputera,978
Malaysia,Total Sex, 15 - 19,1983,Chinese,504
Malaysia,Total Sex, 15 - 19,1983,Indians,145
Malaysia,Total Sex, 15 - 19,1983,Others,52
Malaysia,Total Sex, 15 - 19,1984,Total Ethnic Group,1687
Malaysia,Total Sex, 15 - 19,1984,Bumiputera,996
Malaysia,Total Sex, 15 - 19,1984,Chinese,494
Malaysia,Total Sex, 15 - 19,1984,Indians,142
Malaysia,Total Sex, 15 - 19,1984,Others,56
Malaysia,Total Sex, 15 - 19,1985,Total Ethnic Group,1696
Malaysia,Total Sex, 15 - 19,1985,Bumiputera,1014
Malaysia,Total Sex, 15 - 19,1985,Chinese,483
Malaysia,Total Sex, 15 - 19,1985,Indians,139
Malaysia,Total Sex, 15 - 19,1985,Others,59
Malaysia,Total Sex, 15 - 19,1986,Total Ethnic Group,1710
Malaysia,Total Sex, 15 - 19,1986,Bumiputera,1034
Malaysia,Total Sex, 15 - 19,1986,Chinese,477
Malaysia,Total Sex, 15 - 19,1986,Indians,136
Malaysia,Total Sex, 15 - 19,1986,Others,63
Malaysia,Total Sex, 15 - 19,1987,Total Ethnic Group,1727
Malaysia,Total Sex, 15 - 19,1987,Bumiputera,1060
Malaysia,Total Sex, 15 - 19,1987,Chinese,470
Malaysia,Total Sex, 15 - 19,1987,Indians,135
Malaysia,Total Sex, 15 - 19,1987,Others,62
Malaysia,Total Sex, 15 - 19,1988,Total Ethnic Group,1738
Malaysia,Total Sex, 15 - 19,1988,Bumiputera,1075
Malaysia,Total Sex, 15 - 19,1988,Chinese,468
Malaysia,Total Sex, 15 - 19,1988,Indians,134
Malaysia,Total Sex, 15 - 19,1988,Others,61
Malaysia,Total Sex, 15 - 19,1989,Total Ethnic Group,1770
Malaysia,Total Sex, 15 - 19,1989,Bumiputera,1102
Malaysia,Total Sex, 15 - 19,1989,Chinese,474
Malaysia,Total Sex, 15 - 19,1989,Indians,136
Malaysia,Total Sex, 15 - 19,1989,Others,59
Malaysia,Total Sex, 15 - 19,1990,Total Ethnic Group,1808
Malaysia,Total Sex, 15 - 19,1990,Bumiputera,1134
Malaysia,Total Sex, 15 - 19,1990,Chinese,481
Malaysia,Total Sex, 15 - 19,1990,Indians,139
Malaysia,Total Sex, 15 - 19,1990,Others,55
Malaysia,Total Sex, 20 - 24,1980,Total Ethnic Group,1355
Malaysia,Total Sex, 20 - 24,1980,Bumiputera,768
Malaysia,Total Sex, 20 - 24,1980,Chinese,417
Malaysia,Total Sex, 20 - 24,1980,Indians,132
Malaysia,Total Sex, 20 - 24,1980,Others,38
Malaysia,Total Sex, 20 - 24,1981,Total Ethnic Group,1403
Malaysia,Total Sex, 20 - 24,1981,Bumiputera,802
Malaysia,Total Sex, 20 - 24,1981,Chinese,425
Malaysia,Total Sex, 20 - 24,1981,Indians,135
Malaysia,Total Sex, 20 - 24,1981,Others,41
Malaysia,Total Sex, 20 - 24,1982,Total Ethnic Group,1456
Malaysia,Total Sex, 20 - 24,1982,Bumiputera,841
Malaysia,Total Sex, 20 - 24,1982,Chinese,435
Malaysia,Total Sex, 20 - 24,1982,Indians,137
Malaysia,Total Sex, 20 - 24,1982,Others,44
Malaysia,Total Sex, 20 - 24,1983,Total Ethnic Group,1508
Malaysia,Total Sex, 20 - 24,1983,Bumiputera,878
Malaysia,Total Sex, 20 - 24,1983,Chinese,446
Malaysia,Total Sex, 20 - 24,1983,Indians,139
Malaysia,Total Sex, 20 - 24,1983,Others,45
Malaysia,Total Sex, 20 - 24,1984,Total Ethnic Group,1559
Malaysia,Total Sex, 20 - 24,1984,Bumiputera,915
Malaysia,Total Sex, 20 - 24,1984,Chinese,456
Malaysia,Total Sex, 20 - 24,1984,Indians,140
Malaysia,Total Sex, 20 - 24,1984,Others,48
Malaysia,Total Sex, 20 - 24,1985,Total Ethnic Group,1590
Malaysia,Total Sex, 20 - 24,1985,Bumiputera,939
Malaysia,Total Sex, 20 - 24,1985,Chinese,461
Malaysia,Total Sex, 20 - 24,1985,Indians,140
Malaysia,Total Sex, 20 - 24,1985,Others,51
Malaysia,Total Sex, 20 - 24,1986,Total Ethnic Group,1621
Malaysia,Total Sex, 20 - 24,1986,Bumiputera,965
Malaysia,Total Sex, 20 - 24,1986,Chinese,461
Malaysia,Total Sex, 20 - 24,1986,Indians,140
Malaysia,Total Sex, 20 - 24,1986,Others,56
Malaysia,Total Sex, 20 - 24,1987,Total Ethnic Group,1643
Malaysia,Total Sex, 20 - 24,1987,Bumiputera,986
Malaysia,Total Sex, 20 - 24,1987,Chinese,457
Malaysia,Total Sex, 20 - 24,1987,Indians,139
Malaysia,Total Sex, 20 - 24,1987,Others,61
Malaysia,Total Sex, 20 - 24,1988,Total Ethnic Group,1664
Malaysia,Total Sex, 20 - 24,1988,Bumiputera,1011
Malaysia,Total Sex, 20 - 24,1988,Chinese,448
Malaysia,Total Sex, 20 - 24,1988,Indians,137
Malaysia,Total Sex, 20 - 24,1988,Others,68
Malaysia,Total Sex, 20 - 24,1989,Total Ethnic Group,1665
Malaysia,Total Sex, 20 - 24,1989,Bumiputera,1027
Malaysia,Total Sex, 20 - 24,1989,Chinese,433
Malaysia,Total Sex, 20 - 24,1989,Indians,134
Malaysia,Total Sex, 20 - 24,1989,Others,71
Malaysia,Total Sex, 20 - 24,1990,Total Ethnic Group,1671
Malaysia,Total Sex, 20 - 24,1990,Bumiputera,1044
Malaysia,Total Sex, 20 - 24,1990,Chinese,422
Malaysia,Total Sex, 20 - 24,1990,Indians,132
Malaysia,Total Sex, 20 - 24,1990,Others,74
Malaysia,Total Sex, 25 - 29,1980,Total Ethnic Group,1118
Malaysia,Total Sex, 25 - 29,1980,Bumiputera,617
Malaysia,Total Sex, 25 - 29,1980,Chinese,369
Malaysia,Total Sex, 25 - 29,1980,Indians,105
Malaysia,Total Sex, 25 - 29,1980,Others,28
Malaysia,Total Sex, 25 - 29,1981,Total Ethnic Group,1177
Malaysia,Total Sex, 25 - 29,1981,Bumiputera,655
Malaysia,Total Sex, 25 - 29,1981,Chinese,381
Malaysia,Total Sex, 25 - 29,1981,Indians,111
Malaysia,Total Sex, 25 - 29,1981,Others,30
Malaysia,Total Sex, 25 - 29,1982,Total Ethnic Group,1226
Malaysia,Total Sex, 25 - 29,1982,Bumiputera,685
Malaysia,Total Sex, 25 - 29,1982,Chinese,391
Malaysia,Total Sex, 25 - 29,1982,Indians,116
Malaysia,Total Sex, 25 - 29,1982,Others,34
Malaysia,Total Sex, 25 - 29,1983,Total Ethnic Group,1274
Malaysia,Total Sex, 25 - 29,1983,Bumiputera,718
Malaysia,Total Sex, 25 - 29,1983,Chinese,399
Malaysia,Total Sex, 25 - 29,1983,Indians,120
Malaysia,Total Sex, 25 - 29,1983,Others,38
Malaysia,Total Sex, 25 - 29,1984,Total Ethnic Group,1322
Malaysia,Total Sex, 25 - 29,1984,Bumiputera,752
Malaysia,Total Sex, 25 - 29,1984,Chinese,406
Malaysia,Total Sex, 25 - 29,1984,Indians,124
Malaysia,Total Sex, 25 - 29,1984,Others,41
Malaysia,Total Sex, 25 - 29,1985,Total Ethnic Group,1378
Malaysia,Total Sex, 25 - 29,1985,Bumiputera,792
Malaysia,Total Sex, 25 - 29,1985,Chinese,414
Malaysia,Total Sex, 25 - 29,1985,Indians,128
Malaysia,Total Sex, 25 - 29,1985,Others,45
Malaysia,Total Sex, 25 - 29,1986,Total Ethnic Group,1430
Malaysia,Total Sex, 25 - 29,1986,Bumiputera,830
Malaysia,Total Sex, 25 - 29,1986,Chinese,421
Malaysia,Total Sex, 25 - 29,1986,Indians,131
Malaysia,Total Sex, 25 - 29,1986,Others,48
Malaysia,Total Sex, 25 - 29,1987,Total Ethnic Group,1479
Malaysia,Total Sex, 25 - 29,1987,Bumiputera,869
Malaysia,Total Sex, 25 - 29,1987,Chinese,426
Malaysia,Total Sex, 25 - 29,1987,Indians,133
Malaysia,Total Sex, 25 - 29,1987,Others,52
Malaysia,Total Sex, 25 - 29,1988,Total Ethnic Group,1531
Malaysia,Total Sex, 25 - 29,1988,Bumiputera,909
Malaysia,Total Sex, 25 - 29,1988,Chinese,432
Malaysia,Total Sex, 25 - 29,1988,Indians,135
Malaysia,Total Sex, 25 - 29,1988,Others,55
Malaysia,Total Sex, 25 - 29,1989,Total Ethnic Group,1574
Malaysia,Total Sex, 25 - 29,1989,Bumiputera,946
Malaysia,Total Sex, 25 - 29,1989,Chinese,433
Malaysia,Total Sex, 25 - 29,1989,Indians,136
Malaysia,Total Sex, 25 - 29,1989,Others,60
Malaysia,Total Sex, 25 - 29,1990,Total Ethnic Group,1604
Malaysia,Total Sex, 25 - 29,1990,Bumiputera,974
Malaysia,Total Sex, 25 - 29,1990,Chinese,430
Malaysia,Total Sex, 25 - 29,1990,Indians,136
Malaysia,Total Sex, 25 - 29,1990,Others,65
Malaysia,Total Sex, 30 - 34,1980,Total Ethnic Group,901
Malaysia,Total Sex, 30 - 34,1980,Bumiputera,487
Malaysia,Total Sex, 30 - 34,1980,Chinese,316
Malaysia,Total Sex, 30 - 34,1980,Indians,78
Malaysia,Total Sex, 30 - 34,1980,Others,21
Malaysia,Total Sex, 30 - 34,1981,Total Ethnic Group,941
Malaysia,Total Sex, 30 - 34,1981,Bumiputera,511
Malaysia,Total Sex, 30 - 34,1981,Chinese,326
Malaysia,Total Sex, 30 - 34,1981,Indians,83
Malaysia,Total Sex, 30 - 34,1981,Others,21
Malaysia,Total Sex, 30 - 34,1982,Total Ethnic Group,988
Malaysia,Total Sex, 30 - 34,1982,Bumiputera,540
Malaysia,Total Sex, 30 - 34,1982,Chinese,338
Malaysia,Total Sex, 30 - 34,1982,Indians,88
Malaysia,Total Sex, 30 - 34,1982,Others,23
Malaysia,Total Sex, 30 - 34,1983,Total Ethnic Group,1038
Malaysia,Total Sex, 30 - 34,1983,Bumiputera,572
Malaysia,Total Sex, 30 - 34,1983,Chinese,349
Malaysia,Total Sex, 30 - 34,1983,Indians,93
Malaysia,Total Sex, 30 - 34,1983,Others,24
Malaysia,Total Sex, 30 - 34,1984,Total Ethnic Group,1087
Malaysia,Total Sex, 30 - 34,1984,Bumiputera,603
Malaysia,Total Sex, 30 - 34,1984,Chinese,359
Malaysia,Total Sex, 30 - 34,1984,Indians,98
Malaysia,Total Sex, 30 - 34,1984,Others,27
Malaysia,Total Sex, 30 - 34,1985,Total Ethnic Group,1140
Malaysia,Total Sex, 30 - 34,1985,Bumiputera,637
Malaysia,Total Sex, 30 - 34,1985,Chinese,370
Malaysia,Total Sex, 30 - 34,1985,Indians,103
Malaysia,Total Sex, 30 - 34,1985,Others,30
Malaysia,Total Sex, 30 - 34,1986,Total Ethnic Group,1197
Malaysia,Total Sex, 30 - 34,1986,Bumiputera,674
Malaysia,Total Sex, 30 - 34,1986,Chinese,381
Malaysia,Total Sex, 30 - 34,1986,Indians,108
Malaysia,Total Sex, 30 - 34,1986,Others,34
Malaysia,Total Sex, 30 - 34,1987,Total Ethnic Group,1248
Malaysia,Total Sex, 30 - 34,1987,Bumiputera,706
Malaysia,Total Sex, 30 - 34,1987,Chinese,391
Malaysia,Total Sex, 30 - 34,1987,Indians,113
Malaysia,Total Sex, 30 - 34,1987,Others,38
Malaysia,Total Sex, 30 - 34,1988,Total Ethnic Group,1296
Malaysia,Total Sex, 30 - 34,1988,Bumiputera,739
Malaysia,Total Sex, 30 - 34,1988,Chinese,398
Malaysia,Total Sex, 30 - 34,1988,Indians,117
Malaysia,Total Sex, 30 - 34,1988,Others,42
Malaysia,Total Sex, 30 - 34,1989,Total Ethnic Group,1348
Malaysia,Total Sex, 30 - 34,1989,Bumiputera,776
Malaysia,Total Sex, 30 - 34,1989,Chinese,405
Malaysia,Total Sex, 30 - 34,1989,Indians,121
Malaysia,Total Sex, 30 - 34,1989,Others,47
Malaysia,Total Sex, 30 - 34,1990,Total Ethnic Group,1401
Malaysia,Total Sex, 30 - 34,1990,Bumiputera,815
Malaysia,Total Sex, 30 - 34,1990,Chinese,410
Malaysia,Total Sex, 30 - 34,1990,Indians,124
Malaysia,Total Sex, 30 - 34,1990,Others,51
Malaysia,Total Sex, 35 - 39,1980,Total Ethnic Group,730
Malaysia,Total Sex, 35 - 39,1980,Bumiputera,395
Malaysia,Total Sex, 35 - 39,1980,Chinese,262
Malaysia,Total Sex, 35 - 39,1980,Indians,58
Malaysia,Total Sex, 35 - 39,1980,Others,15
Malaysia,Total Sex, 35 - 39,1981,Total Ethnic Group,755
Malaysia,Total Sex, 35 - 39,1981,Bumiputera,410
Malaysia,Total Sex, 35 - 39,1981,Chinese,270
Malaysia,Total Sex, 35 - 39,1981,Indians,60
Malaysia,Total Sex, 35 - 39,1981,Others,15
Malaysia,Total Sex, 35 - 39,1982,Total Ethnic Group,785
Malaysia,Total Sex, 35 - 39,1982,Bumiputera,426
Malaysia,Total Sex, 35 - 39,1982,Chinese,279
Malaysia,Total Sex, 35 - 39,1982,Indians,63
Malaysia,Total Sex, 35 - 39,1982,Others,16
Malaysia,Total Sex, 35 - 39,1983,Total Ethnic Group,819
Malaysia,Total Sex, 35 - 39,1983,Bumiputera,446
Malaysia,Total Sex, 35 - 39,1983,Chinese,289
Malaysia,Total Sex, 35 - 39,1983,Indians,67
Malaysia,Total Sex, 35 - 39,1983,Others,18
Malaysia,Total Sex, 35 - 39,1984,Total Ethnic Group,862
Malaysia,Total Sex, 35 - 39,1984,Bumiputera,470
