Year,Expenditure category,Expenditure subcategory,RM Million
2006,By Object,Grants to statutory bodies,0
2007,By Object,Grants to statutory bodies,0
2008,By Object,Grants to statutory bodies,0
2009,By Object,Grants to statutory bodies,0
2010,By Object,Grants to statutory bodies,0
2011,By Object,Grants to statutory bodies,0
2012,By Object,Grants to statutory bodies,0
2013,By Object,Grants to statutory bodies,0
2014,By Object,Grants to statutory bodies,0
2015,By Object,Grants to statutory bodies,0
2016,By Object,Grants to statutory bodies,0
2017,By Object,Grants to statutory bodies,14044
2018,By Object,Grants to statutory bodies,13763
2019,By Object,Grants to statutory bodies,13780
2000,By Object,Others,12687
2001,By Object,Others,14701
2002,By Object,Others,16173
2003,By Object,Others,18315
2004,By Object,Others,25215
2005,By Object,Others,19759
2006,By Object,Others,25783
2007,By Object,Others,31328
2008,By Object,Others,24941
2009,By Object,Others,38310
2010,By Object,Others,26197
2011,By Object,Others,30425
2012,By Object,Others,30177
2013,By Object,Others,31396
2014,By Object,Others,31344
2015,By Object,Others,33230
2016,By Object,Others,27854
2017,By Object,Others,10262
2018,By Object,Others,9750
2019,By Object,Others,45557
2000,By Sector,Security,6958
2001,By Sector,Security,8310
2002,By Sector,Security,9029
2003,By Sector,Security,10407
2004,By Sector,Security,12190
2005,By Sector,Security,13085
2006,By Sector,Security,14562
2007,By Sector,Security,16134
2008,By Sector,Security,18510
2009,By Sector,Security,19583
2010,By Sector,Security,18683
2011,By Sector,Security,20940
2012,By Sector,Security,22680
2013,By Sector,Security,24021
2014,By Sector,Security,25952
2015,By Sector,Security,27138
2016,By Sector,Security,23951
2017,By Sector,Security,26006
2018,By Sector,Security,27229
2019,By Sector,Security,23429
2000,By Sector,Social services,18784
2001,By Sector,Social services,21756
2002,By Sector,Social services,24799
2003,By Sector,Social services,28707
2004,By Sector,Social services,32388
2005,By Sector,Social services,34245
2006,By Sector,Social services,38622
2007,By Sector,Social services,45947
2008,By Sector,Social services,54582
2009,By Sector,Social services,58237
2010,By Sector,Social services,57765
2011,By Sector,Social services,64718
2012,By Sector,Social services,72406
2013,By Sector,Social services,74490
2014,By Sector,Social services,81564
2015,By Sector,Social services,83467
2016,By Sector,Social services,81889
2017,By Sector,Social services,87409
2018,By Sector,Social services,90968
2019,By Sector,Social services,93494
2000,By Sector,Economic services,6637
2001,By Sector,Economic services,5150
2002,By Sector,Economic services,6015
2003,By Sector,Economic services,6466
2004,By Sector,Economic services,6900
2005,By Sector,Economic services,8764
2006,By Sector,Economic services,13541
2007,By Sector,Economic services,9940
2008,By Sector,Economic services,13825
2009,By Sector,Economic services,11680
2010,By Sector,Economic services,14527
2011,By Sector,Economic services,19555
2012,By Sector,Economic services,16450
2013,By Sector,Economic services,18848
2014,By Sector,Economic services,19310
2015,By Sector,Economic services,20157
2016,By Sector,Economic services,18861
2017,By Sector,Economic services,16878
2018,By Sector,Economic services,14064
2019,By Sector,Economic services,15605
2000,By Sector,General administration,8401
2001,By Sector,General administration,8635
2002,By Sector,General administration,8275
2003,By Sector,General administration,8453
2004,By Sector,General administration,12667
2005,By Sector,General administration,7865
2006,By Sector,General administration,8326
2007,By Sector,General administration,11534
2008,By Sector,General administration,12450
2009,By Sector,General administration,27123
2010,By Sector,General administration,15342
2011,By Sector,General administration,16480
2012,By Sector,General administration,19092
2013,By Sector,General administration,17846
2014,By Sector,General administration,16240
2015,By Sector,General administration,16712
2016,By Sector,General administration,15755
2017,By Sector,General administration,12048
2018,By Sector,General administration,14597
2019,By Sector,General administration,16901
2000,By Sector,Others,15767
2001,By Sector,Others,19906
2002,By Sector,Others,20581
2003,By Sector,Others,21191
2004,By Sector,Others,27153
2005,By Sector,Others,33785
2006,By Sector,Others,32644
2007,By Sector,Others,39530
2008,By Sector,Others,54132
2009,By Sector,Others,40443
2010,By Sector,Others,45316
2011,By Sector,Others,60901
2012,By Sector,Others,74909
2013,By Sector,Others,76065
2014,By Sector,Others,76523
2015,By Sector,Others,69479
2016,By Sector,Others,69717
2017,By Sector,Others,75354
2018,By Sector,Others,81102
2019,By Sector,Others,113914
2020,By Object,Pensions and gratuities,82611
2020,By Object,Debt service charges,34945
2020,By Object,Grants and transfers to State Governments,7749
2020,By Object,Supplies and services,30101
2020,By Object,Subsidies and social assistance,20145
2020,By Object,Asset acquisition,0
2020,By Object,Refund and write-offs,0
2020,By Object,Grants to statutory bodies,0
2020,By Object,Others,8437
2020,By Sector,Security,24654
2020,By Sector,Social services,91933
2020,By Sector,Economic services,16209
2020,By Sector,General administration,17194
2020,By Sector,Others,76730
